Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
10,1992-93,42.0,15.0,11.0,16.0,40.0,38.0,2.0,56.0
4,1993-94,42.0,18.0,17.0,7.0,53.0,28.0,25.0,71.0
12,1994-95,42.0,13.0,12.0,17.0,52.0,49.0,3.0,51.0
5,1995-96,38.0,17.0,12.0,9.0,49.0,32.0,17.0,63.0
3,1996-97,38.0,19.0,11.0,8.0,62.0,32.0,30.0,68.0
1,1997-98,38.0,23.0,9.0,6.0,68.0,33.0,35.0,78.0
2,1998-99,38.0,22.0,12.0,4.0,59.0,17.0,42.0,78.0
2,1999-00,38.0,22.0,7.0,9.0,73.0,43.0,30.0,73.0
2,2000-01,38.0,20.0,10.0,8.0,63.0,38.0,25.0,70.0
1,2001-02,38.0,26.0,9.0,3.0,79.0,36.0,43.0,87.0
2,2002-03,38.0,23.0,9.0,6.0,85.0,42.0,43.0,78.0
1,2003-04,38.0,26.0,12.0,0.0,73.0,26.0,47.0,90.0
2,2004-05,38.0,25.0,8.0,5.0,87.0,36.0,51.0,83.0
4,2005-06,38.0,20.0,7.0,11.0,68.0,31.0,37.0,67.0
4,2006-07,38.0,19.0,11.0,8.0,63.0,35.0,28.0,68.0
3,2007-08,38.0,24.0,11.0,3.0,74.0,31.0,43.0,83.0
4,2008-09,38.0,20.0,12.0,6.0,68.0,37.0,31.0,72.0
3,2009-10,38.0,23.0,6.0,9.0,83.0,41.0,42.0,75.0
4,2010-11,38.0,19.0,11.0,8.0,72.0,43.0,29.0,68.0
3,2011-12,38.0,21.0,7.0,10.0,74.0,49.0,25.0,70.0
4,2012-13,38.0,21.0,10.0,7.0,72.0,37.0,35.0,73.0
4,2013-14,38.0,24.0,7.0,7.0,68.0,41.0,27.0,79.0
3,2014-15,38.0,22.0,9.0,7.0,71.0,36.0,35.0,75.0
2,2015-16,38.0,20.0,11.0,7.0,65.0,36.0,29.0,71.0
5,2016-17,38.0,23.0,6.0,9.0,77.0,44.0,33.0,75.0
6,2017-18,38.0,19.0,6.0,13.0,74.0,51.0,23.0,63.0
5,2018-19,38.0,21.0,7.0,10.0,73.0,51.0,22.0,70.0
8,2019-20,38.0,14.0,14.0,10.0,56.0,48.0,8.0,56.0
8,2020-21,38.0,18.0,7.0,13.0,55.0,39.0,16.0,61.0
5,2021-22,38.0,22.0,3.0,13.0,61.0,48.0,13.0,69.0
