Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
4,1992-93,42.0,20.0,11.0,11.0,68.0,46.0,22.0,71.0
2,1993-94,42.0,25.0,9.0,8.0,63.0,36.0,27.0,84.0
1,1994-95,42.0,27.0,8.0,7.0,80.0,39.0,41.0,89.0
7,1995-96,38.0,18.0,7.0,13.0,61.0,47.0,14.0,61.0
13,1996-97,38.0,9.0,15.0,14.0,42.0,43.0,-1.0,42.0
6,1997-98,38.0,16.0,10.0,12.0,57.0,52.0,5.0,58.0
19,1998-99,38.0,7.0,14.0,17.0,38.0,52.0,-14.0,35.0
10,2001-02,38.0,12.0,10.0,16.0,55.0,51.0,4.0,46.0
6,2002-03,38.0,16.0,12.0,10.0,52.0,43.0,9.0,60.0
15,2003-04,38.0,12.0,8.0,18.0,51.0,59.0,-8.0,44.0
15,2004-05,38.0,9.0,15.0,14.0,32.0,43.0,-11.0,42.0
6,2005-06,38.0,19.0,6.0,13.0,51.0,42.0,9.0,63.0
10,2006-07,38.0,15.0,7.0,16.0,52.0,54.0,-2.0,52.0
7,2007-08,38.0,15.0,13.0,10.0,50.0,48.0,2.0,58.0
15,2008-09,38.0,10.0,11.0,17.0,40.0,60.0,-20.0,41.0
10,2009-10,38.0,13.0,11.0,14.0,41.0,55.0,-14.0,50.0
15,2010-11,38.0,11.0,10.0,17.0,46.0,59.0,-13.0,43.0
19,2011-12,38.0,8.0,7.0,23.0,48.0,78.0,-30.0,31.0
