Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
20,1995-96,38.0,8.0,5.0,25.0,39.0,71.0,-32.0,29.0
18,1997-98,38.0,9.0,13.0,16.0,41.0,61.0,-20.0,40.0
16,2001-02,38.0,9.0,13.0,16.0,44.0,62.0,-18.0,40.0
17,2002-03,38.0,10.0,14.0,14.0,41.0,51.0,-10.0,44.0
8,2003-04,38.0,14.0,11.0,13.0,48.0,56.0,-8.0,53.0
6,2004-05,38.0,16.0,10.0,12.0,49.0,44.0,5.0,58.0
8,2005-06,38.0,15.0,11.0,12.0,49.0,41.0,8.0,56.0
7,2006-07,38.0,16.0,8.0,14.0,47.0,52.0,-5.0,56.0
16,2007-08,38.0,9.0,10.0,19.0,36.0,54.0,-18.0,37.0
13,2008-09,38.0,11.0,8.0,19.0,41.0,53.0,-12.0,41.0
14,2009-10,38.0,10.0,9.0,19.0,42.0,67.0,-25.0,39.0
14,2010-11,38.0,12.0,10.0,16.0,52.0,56.0,-4.0,46.0
18,2011-12,38.0,10.0,6.0,22.0,46.0,77.0,-31.0,36.0
