Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
11,1992-93,42.0,14.0,14.0,14.0,51.0,54.0,-3.0,56.0
14,1993-94,42.0,13.0,12.0,17.0,49.0,53.0,-4.0,51.0
11,1994-95,42.0,13.0,15.0,14.0,50.0,55.0,-5.0,54.0
11,1995-96,38.0,12.0,14.0,12.0,46.0,44.0,2.0,50.0
6,1996-97,38.0,16.0,11.0,11.0,58.0,55.0,3.0,59.0
4,1997-98,38.0,20.0,3.0,15.0,71.0,43.0,28.0,63.0
3,1998-99,38.0,20.0,15.0,3.0,57.0,30.0,27.0,75.0
5,1999-00,38.0,18.0,11.0,9.0,53.0,34.0,19.0,65.0
6,2000-01,38.0,17.0,10.0,11.0,68.0,45.0,23.0,61.0
6,2001-02,38.0,17.0,13.0,8.0,66.0,38.0,28.0,64.0
4,2002-03,38.0,19.0,10.0,9.0,68.0,38.0,30.0,67.0
2,2003-04,38.0,24.0,7.0,7.0,67.0,30.0,37.0,79.0
1,2004-05,38.0,29.0,8.0,1.0,72.0,15.0,57.0,95.0
1,2005-06,38.0,29.0,4.0,5.0,72.0,22.0,50.0,91.0
2,2006-07,38.0,24.0,11.0,3.0,64.0,24.0,40.0,83.0
2,2007-08,38.0,25.0,10.0,3.0,65.0,26.0,39.0,85.0
3,2008-09,38.0,25.0,8.0,5.0,68.0,24.0,44.0,83.0
1,2009-10,38.0,27.0,5.0,6.0,103.0,32.0,71.0,86.0
2,2010-11,38.0,21.0,8.0,9.0,69.0,33.0,36.0,71.0
6,2011-12,38.0,18.0,10.0,10.0,65.0,46.0,19.0,64.0
3,2012-13,38.0,22.0,9.0,7.0,75.0,39.0,36.0,75.0
3,2013-14,38.0,25.0,7.0,6.0,71.0,27.0,44.0,82.0
1,2014-15,38.0,26.0,9.0,3.0,73.0,32.0,41.0,87.0
10,2015-16,38.0,12.0,14.0,12.0,59.0,53.0,6.0,50.0
1,2016-17,38.0,30.0,3.0,5.0,85.0,33.0,52.0,93.0
5,2017-18,38.0,21.0,7.0,10.0,62.0,38.0,24.0,70.0
3,2018-19,38.0,21.0,9.0,8.0,63.0,39.0,24.0,72.0
4,2019-20,38.0,20.0,6.0,12.0,69.0,54.0,15.0,66.0
4,2020-21,38.0,19.0,10.0,9.0,58.0,36.0,22.0,67.0
3,2021-22,38.0,21.0,11.0,6.0,76.0,33.0,43.0,74.0
