Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
20,1992-93,42.0,11.0,16.0,15.0,48.0,61.0,-13.0,49.0
19,1994-95,42.0,11.0,12.0,19.0,34.0,49.0,-15.0,45.0
20,1997-98,38.0,8.0,9.0,21.0,37.0,71.0,-34.0,33.0
18,2004-05,38.0,7.0,12.0,19.0,41.0,62.0,-21.0,33.0
11,2013-14,38.0,13.0,6.0,19.0,33.0,48.0,-15.0,45.0
10,2014-15,38.0,13.0,9.0,16.0,47.0,51.0,-4.0,48.0
15,2015-16,38.0,11.0,9.0,18.0,39.0,51.0,-12.0,42.0
14,2016-17,38.0,12.0,5.0,21.0,50.0,63.0,-13.0,41.0
11,2017-18,38.0,11.0,11.0,16.0,45.0,55.0,-10.0,44.0
12,2018-19,38.0,14.0,7.0,17.0,51.0,53.0,-2.0,49.0
14,2019-20,38.0,11.0,10.0,17.0,31.0,50.0,-19.0,43.0
14,2020-21,38.0,12.0,8.0,18.0,41.0,66.0,-25.0,44.0
12,2021-22,38.0,11.0,15.0,12.0,50.0,46.0,4.0,48.0
