Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
13,1992-93,42.0,15.0,8.0,19.0,53.0,55.0,-2.0,53.0
17,1993-94,42.0,12.0,8.0,22.0,42.0,63.0,-21.0,44.0
15,1994-95,42.0,11.0,17.0,14.0,44.0,51.0,-7.0,50.0
6,1995-96,38.0,17.0,10.0,11.0,64.0,44.0,20.0,61.0
15,1996-97,38.0,10.0,12.0,16.0,44.0,57.0,-13.0,42.0
17,1997-98,38.0,9.0,13.0,16.0,41.0,56.0,-15.0,40.0
14,1998-99,38.0,11.0,10.0,17.0,42.0,47.0,-5.0,43.0
13,1999-00,38.0,12.0,14.0,12.0,59.0,49.0,10.0,50.0
16,2000-01,38.0,11.0,9.0,18.0,45.0,59.0,-14.0,42.0
15,2001-02,38.0,11.0,10.0,17.0,45.0,57.0,-12.0,43.0
7,2002-03,38.0,17.0,8.0,13.0,48.0,49.0,-1.0,59.0
17,2003-04,38.0,9.0,12.0,17.0,45.0,57.0,-12.0,39.0
4,2004-05,38.0,18.0,7.0,13.0,45.0,46.0,-1.0,61.0
11,2005-06,38.0,14.0,8.0,16.0,34.0,49.0,-15.0,50.0
6,2006-07,38.0,15.0,13.0,10.0,52.0,36.0,16.0,58.0
5,2007-08,38.0,19.0,8.0,11.0,55.0,33.0,22.0,65.0
5,2008-09,38.0,17.0,12.0,9.0,55.0,37.0,18.0,63.0
8,2009-10,38.0,16.0,13.0,9.0,60.0,49.0,11.0,61.0
7,2010-11,38.0,13.0,15.0,10.0,51.0,45.0,6.0,54.0
7,2011-12,38.0,15.0,11.0,12.0,50.0,40.0,10.0,56.0
6,2012-13,38.0,16.0,15.0,7.0,55.0,40.0,15.0,63.0
5,2013-14,38.0,21.0,9.0,8.0,61.0,39.0,22.0,72.0
11,2014-15,38.0,12.0,11.0,15.0,48.0,50.0,-2.0,47.0
11,2015-16,38.0,11.0,14.0,13.0,59.0,55.0,4.0,47.0
7,2016-17,38.0,17.0,10.0,11.0,62.0,44.0,18.0,61.0
8,2017-18,38.0,13.0,10.0,15.0,44.0,58.0,-14.0,49.0
8,2018-19,38.0,15.0,9.0,14.0,54.0,46.0,8.0,54.0
12,2019-20,38.0,13.0,10.0,15.0,44.0,56.0,-12.0,49.0
10,2020-21,38.0,17.0,8.0,13.0,47.0,48.0,-1.0,59.0
16,2021-22,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0
