Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
13,2001-02,38.0,10.0,14.0,14.0,36.0,44.0,-8.0,44.0
14,2002-03,38.0,13.0,9.0,16.0,41.0,50.0,-9.0,48.0
9,2003-04,38.0,14.0,10.0,14.0,52.0,46.0,6.0,52.0
13,2004-05,38.0,12.0,8.0,18.0,52.0,60.0,-8.0,44.0
12,2005-06,38.0,14.0,6.0,18.0,48.0,58.0,-10.0,48.0
16,2006-07,38.0,8.0,15.0,15.0,38.0,60.0,-22.0,39.0
17,2007-08,38.0,8.0,12.0,18.0,38.0,60.0,-22.0,36.0
7,2008-09,38.0,14.0,11.0,13.0,39.0,34.0,5.0,53.0
12,2009-10,38.0,12.0,10.0,16.0,39.0,46.0,-7.0,46.0
8,2010-11,38.0,11.0,16.0,11.0,49.0,43.0,6.0,49.0
9,2011-12,38.0,14.0,10.0,14.0,48.0,51.0,-3.0,52.0
12,2012-13,38.0,11.0,10.0,17.0,50.0,60.0,-10.0,43.0
19,2013-14,38.0,9.0,5.0,24.0,40.0,85.0,-45.0,32.0
19,2018-19,38.0,7.0,5.0,26.0,34.0,81.0,-47.0,26.0
18,2020-21,38.0,5.0,13.0,20.0,27.0,53.0,-26.0,28.0
