Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
17,1992-93,42.0,12.0,15.0,15.0,57.0,62.0,-5.0,51.0
5,1993-94,42.0,18.0,16.0,8.0,65.0,39.0,26.0,70.0
5,1994-95,42.0,20.0,13.0,9.0,59.0,38.0,21.0,73.0
13,1995-96,38.0,12.0,7.0,19.0,40.0,57.0,-17.0,43.0
11,1996-97,38.0,11.0,13.0,14.0,28.0,38.0,-10.0,46.0
5,1997-98,38.0,17.0,8.0,13.0,57.0,46.0,11.0,59.0
4,1998-99,38.0,18.0,13.0,7.0,62.0,34.0,28.0,67.0
3,1999-00,38.0,21.0,6.0,11.0,58.0,43.0,15.0,69.0
4,2000-01,38.0,20.0,8.0,10.0,64.0,43.0,21.0,68.0
5,2001-02,38.0,18.0,12.0,8.0,53.0,37.0,16.0,66.0
15,2002-03,38.0,14.0,5.0,19.0,58.0,57.0,1.0,47.0
19,2003-04,38.0,8.0,9.0,21.0,40.0,79.0,-39.0,33.0
9,2020-21,38.0,18.0,5.0,15.0,62.0,54.0,8.0,59.0
17,2021-22,38.0,9.0,11.0,18.0,42.0,79.0,-37.0,38.0
