Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
6,1992-93,42.0,16.0,11.0,15.0,62.0,55.0,7.0,59.0
8,1993-94,42.0,17.0,9.0,16.0,59.0,55.0,4.0,60.0
4,1994-95,42.0,21.0,11.0,10.0,65.0,37.0,28.0,74.0
3,1995-96,38.0,20.0,11.0,7.0,70.0,34.0,36.0,71.0
4,1996-97,38.0,19.0,11.0,8.0,62.0,37.0,25.0,68.0
3,1997-98,38.0,18.0,11.0,9.0,68.0,42.0,26.0,65.0
7,1998-99,38.0,15.0,9.0,14.0,68.0,49.0,19.0,54.0
4,1999-00,38.0,19.0,10.0,9.0,51.0,30.0,21.0,67.0
3,2000-01,38.0,20.0,9.0,9.0,71.0,39.0,32.0,69.0
2,2001-02,38.0,24.0,8.0,6.0,67.0,30.0,37.0,80.0
5,2002-03,38.0,18.0,10.0,10.0,61.0,41.0,20.0,64.0
4,2003-04,38.0,16.0,12.0,10.0,55.0,37.0,18.0,60.0
5,2004-05,38.0,17.0,7.0,14.0,52.0,41.0,11.0,58.0
3,2005-06,38.0,25.0,7.0,6.0,57.0,25.0,32.0,82.0
3,2006-07,38.0,20.0,8.0,10.0,57.0,27.0,30.0,68.0
4,2007-08,38.0,21.0,13.0,4.0,67.0,28.0,39.0,76.0
2,2008-09,38.0,25.0,11.0,2.0,77.0,27.0,50.0,86.0
7,2009-10,38.0,18.0,9.0,11.0,61.0,35.0,26.0,63.0
6,2010-11,38.0,17.0,7.0,14.0,59.0,44.0,15.0,58.0
8,2011-12,38.0,14.0,10.0,14.0,47.0,40.0,7.0,52.0
7,2012-13,38.0,16.0,13.0,9.0,71.0,43.0,28.0,61.0
2,2013-14,38.0,26.0,6.0,6.0,101.0,50.0,51.0,84.0
6,2014-15,38.0,18.0,8.0,12.0,52.0,48.0,4.0,62.0
8,2015-16,38.0,16.0,12.0,10.0,63.0,50.0,13.0,60.0
4,2016-17,38.0,22.0,10.0,6.0,78.0,42.0,36.0,76.0
4,2017-18,38.0,21.0,12.0,5.0,84.0,38.0,46.0,75.0
2,2018-19,38.0,30.0,7.0,1.0,89.0,22.0,67.0,97.0
1,2019-20,38.0,32.0,3.0,3.0,85.0,33.0,52.0,99.0
3,2020-21,38.0,20.0,9.0,9.0,68.0,42.0,26.0,69.0
2,2021-22,38.0,28.0,8.0,2.0,94.0,26.0,68.0,92.0
