Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
9,1992-93,42.0,15.0,12.0,15.0,56.0,51.0,5.0,57.0
16,1993-94,42.0,9.0,18.0,15.0,38.0,49.0,-11.0,45.0
17,1994-95,42.0,12.0,13.0,17.0,53.0,64.0,-11.0,49.0
18,1995-96,38.0,9.0,11.0,18.0,33.0,58.0,-25.0,38.0
18,2000-01,38.0,8.0,10.0,20.0,41.0,65.0,-24.0,34.0
9,2002-03,38.0,15.0,6.0,17.0,47.0,54.0,-7.0,51.0
16,2003-04,38.0,9.0,14.0,15.0,55.0,54.0,1.0,41.0
8,2004-05,38.0,13.0,13.0,12.0,47.0,39.0,8.0,52.0
15,2005-06,38.0,13.0,4.0,21.0,43.0,48.0,-5.0,43.0
14,2006-07,38.0,11.0,9.0,18.0,29.0,44.0,-15.0,42.0
9,2007-08,38.0,15.0,10.0,13.0,45.0,53.0,-8.0,55.0
10,2008-09,38.0,15.0,5.0,18.0,58.0,50.0,8.0,50.0
5,2009-10,38.0,18.0,13.0,7.0,73.0,45.0,28.0,67.0
3,2010-11,38.0,21.0,8.0,9.0,60.0,33.0,27.0,71.0
1,2011-12,38.0,28.0,5.0,5.0,93.0,29.0,64.0,89.0
2,2012-13,38.0,23.0,9.0,6.0,66.0,34.0,32.0,78.0
1,2013-14,38.0,27.0,5.0,6.0,102.0,37.0,65.0,86.0
2,2014-15,38.0,24.0,7.0,7.0,83.0,38.0,45.0,79.0
4,2015-16,38.0,19.0,9.0,10.0,71.0,41.0,30.0,66.0
3,2016-17,38.0,23.0,9.0,6.0,80.0,39.0,41.0,78.0
1,2017-18,38.0,32.0,4.0,2.0,106.0,27.0,79.0,100.0
1,2018-19,38.0,32.0,2.0,4.0,95.0,23.0,72.0,98.0
2,2019-20,38.0,26.0,3.0,9.0,102.0,35.0,67.0,81.0
1,2020-21,38.0,27.0,5.0,6.0,83.0,32.0,51.0,86.0
1,2021-22,38.0,29.0,6.0,3.0,99.0,26.0,73.0,93.0
