Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
1,1992-93,42.0,24.0,12.0,6.0,67.0,31.0,36.0,84.0
1,1993-94,42.0,27.0,11.0,4.0,80.0,38.0,42.0,92.0
2,1994-95,42.0,26.0,10.0,6.0,77.0,28.0,49.0,88.0
1,1995-96,38.0,25.0,7.0,6.0,73.0,35.0,38.0,82.0
1,1996-97,38.0,21.0,12.0,5.0,76.0,44.0,32.0,75.0
2,1997-98,38.0,23.0,8.0,7.0,73.0,26.0,47.0,77.0
1,1998-99,38.0,22.0,13.0,3.0,80.0,37.0,43.0,79.0
1,1999-00,38.0,28.0,7.0,3.0,97.0,45.0,52.0,91.0
1,2000-01,38.0,24.0,8.0,6.0,79.0,31.0,48.0,80.0
3,2001-02,38.0,24.0,5.0,9.0,87.0,45.0,42.0,77.0
1,2002-03,38.0,25.0,8.0,5.0,74.0,34.0,40.0,83.0
3,2003-04,38.0,23.0,6.0,9.0,64.0,35.0,29.0,75.0
3,2004-05,38.0,22.0,11.0,5.0,58.0,26.0,32.0,77.0
2,2005-06,38.0,25.0,8.0,5.0,72.0,34.0,38.0,83.0
1,2006-07,38.0,28.0,5.0,5.0,83.0,27.0,56.0,89.0
1,2007-08,38.0,27.0,6.0,5.0,80.0,22.0,58.0,87.0
1,2008-09,38.0,28.0,6.0,4.0,68.0,24.0,44.0,90.0
2,2009-10,38.0,27.0,4.0,7.0,86.0,28.0,58.0,85.0
1,2010-11,38.0,23.0,11.0,4.0,78.0,37.0,41.0,80.0
2,2011-12,38.0,28.0,5.0,5.0,89.0,33.0,56.0,89.0
1,2012-13,38.0,28.0,5.0,5.0,86.0,43.0,43.0,89.0
7,2013-14,38.0,19.0,7.0,12.0,64.0,43.0,21.0,64.0
4,2014-15,38.0,20.0,10.0,8.0,62.0,37.0,25.0,70.0
5,2015-16,38.0,19.0,9.0,10.0,49.0,35.0,14.0,66.0
6,2016-17,38.0,18.0,15.0,5.0,54.0,29.0,25.0,69.0
2,2017-18,38.0,25.0,6.0,7.0,68.0,28.0,40.0,81.0
6,2018-19,38.0,19.0,9.0,10.0,65.0,54.0,11.0,66.0
3,2019-20,38.0,18.0,12.0,8.0,66.0,36.0,30.0,66.0
2,2020-21,38.0,21.0,11.0,6.0,73.0,44.0,29.0,74.0
6,2021-22,38.0,16.0,10.0,12.0,57.0,57.0,0.0,58.0
