Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
21,1992-93,42.0,11.0,11.0,20.0,54.0,75.0,-21.0,44.0
12,1995-96,38.0,11.0,10.0,17.0,35.0,50.0,-15.0,43.0
19,1996-97,38.0,10.0,12.0,16.0,51.0,60.0,-9.0,42.0
9,1998-99,38.0,12.0,15.0,11.0,48.0,54.0,-6.0,51.0
12,1999-00,38.0,14.0,10.0,14.0,46.0,52.0,-6.0,52.0
14,2000-01,38.0,9.0,15.0,14.0,44.0,44.0,0.0,42.0
12,2001-02,38.0,12.0,9.0,17.0,35.0,47.0,-12.0,45.0
11,2002-03,38.0,13.0,10.0,15.0,48.0,44.0,4.0,49.0
11,2003-04,38.0,13.0,9.0,16.0,44.0,52.0,-8.0,48.0
7,2004-05,38.0,14.0,13.0,11.0,53.0,46.0,7.0,55.0
14,2005-06,38.0,12.0,9.0,17.0,48.0,58.0,-10.0,45.0
12,2006-07,38.0,12.0,10.0,16.0,44.0,49.0,-5.0,46.0
13,2007-08,38.0,10.0,12.0,16.0,43.0,53.0,-10.0,42.0
19,2008-09,38.0,7.0,11.0,20.0,28.0,57.0,-29.0,32.0
19,2016-17,38.0,5.0,13.0,20.0,27.0,53.0,-26.0,28.0
