Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
3,1993-94,42.0,23.0,8.0,11.0,82.0,41.0,41.0,77.0
6,1994-95,42.0,20.0,12.0,10.0,67.0,47.0,20.0,72.0
2,1995-96,38.0,24.0,6.0,8.0,66.0,37.0,29.0,78.0
2,1996-97,38.0,19.0,11.0,8.0,73.0,40.0,33.0,68.0
13,1997-98,38.0,11.0,11.0,16.0,35.0,44.0,-9.0,44.0
13,1998-99,38.0,11.0,13.0,14.0,48.0,54.0,-6.0,46.0
11,1999-00,38.0,14.0,10.0,14.0,63.0,54.0,9.0,52.0
11,2000-01,38.0,14.0,9.0,15.0,44.0,50.0,-6.0,51.0
4,2001-02,38.0,21.0,8.0,9.0,74.0,52.0,22.0,71.0
3,2002-03,38.0,21.0,6.0,11.0,63.0,48.0,15.0,69.0
5,2003-04,38.0,13.0,17.0,8.0,52.0,40.0,12.0,56.0
14,2004-05,38.0,10.0,14.0,14.0,47.0,57.0,-10.0,44.0
7,2005-06,38.0,17.0,7.0,14.0,47.0,42.0,5.0,58.0
13,2006-07,38.0,11.0,10.0,17.0,38.0,47.0,-9.0,43.0
12,2007-08,38.0,11.0,10.0,17.0,45.0,65.0,-20.0,43.0
18,2008-09,38.0,7.0,13.0,18.0,40.0,59.0,-19.0,34.0
12,2010-11,38.0,11.0,13.0,14.0,56.0,57.0,-1.0,46.0
5,2011-12,38.0,19.0,8.0,11.0,56.0,51.0,5.0,65.0
16,2012-13,38.0,11.0,8.0,19.0,45.0,68.0,-23.0,41.0
10,2013-14,38.0,15.0,4.0,19.0,43.0,59.0,-16.0,49.0
15,2014-15,38.0,10.0,9.0,19.0,40.0,63.0,-23.0,39.0
18,2015-16,38.0,9.0,10.0,19.0,44.0,65.0,-21.0,37.0
10,2017-18,38.0,12.0,8.0,18.0,39.0,47.0,-8.0,44.0
13,2018-19,38.0,12.0,9.0,17.0,42.0,48.0,-6.0,45.0
13,2019-20,38.0,11.0,11.0,16.0,38.0,58.0,-20.0,44.0
12,2020-21,38.0,12.0,9.0,17.0,46.0,62.0,-16.0,45.0
11,2021-22,38.0,13.0,10.0,15.0,44.0,62.0,-18.0,49.0
