Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
3,1992-93,42.0,21.0,9.0,12.0,61.0,65.0,-4.0,72.0
12,1993-94,42.0,12.0,17.0,13.0,65.0,61.0,4.0,53.0
20,1994-95,42.0,10.0,13.0,19.0,37.0,54.0,-17.0,43.0
19,2004-05,38.0,7.0,12.0,19.0,42.0,77.0,-35.0,33.0
12,2011-12,38.0,12.0,11.0,15.0,52.0,66.0,-14.0,47.0
11,2012-13,38.0,10.0,14.0,14.0,41.0,58.0,-17.0,44.0
18,2013-14,38.0,8.0,9.0,21.0,28.0,62.0,-34.0,33.0
19,2015-16,38.0,9.0,7.0,22.0,39.0,67.0,-28.0,34.0
20,2019-20,38.0,5.0,6.0,27.0,26.0,75.0,-49.0,21.0
20,2021-22,38.0,5.0,7.0,26.0,23.0,84.0,-61.0,22.0
