Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
18,1992-93,42.0,13.0,11.0,18.0,54.0,61.0,-7.0,50.0
18,1993-94,42.0,12.0,7.0,23.0,49.0,66.0,-17.0,43.0
10,1994-95,42.0,12.0,18.0,12.0,61.0,63.0,-2.0,54.0
17,1995-96,38.0,9.0,11.0,18.0,34.0,52.0,-18.0,38.0
16,1996-97,38.0,10.0,11.0,17.0,50.0,56.0,-6.0,41.0
12,1997-98,38.0,14.0,6.0,18.0,50.0,55.0,-5.0,48.0
17,1998-99,38.0,11.0,8.0,19.0,37.0,64.0,-27.0,41.0
15,1999-00,38.0,12.0,8.0,18.0,45.0,62.0,-17.0,44.0
10,2000-01,38.0,14.0,10.0,14.0,40.0,48.0,-8.0,52.0
11,2001-02,38.0,12.0,9.0,17.0,46.0,54.0,-8.0,45.0
8,2002-03,38.0,13.0,13.0,12.0,43.0,46.0,-3.0,52.0
12,2003-04,38.0,12.0,11.0,15.0,44.0,45.0,-1.0,47.0
20,2004-05,38.0,6.0,14.0,18.0,45.0,66.0,-21.0,32.0
14,2012-13,38.0,9.0,14.0,15.0,49.0,60.0,-11.0,41.0
8,2013-14,38.0,15.0,11.0,12.0,54.0,46.0,8.0,56.0
7,2014-15,38.0,18.0,6.0,14.0,54.0,33.0,21.0,60.0
6,2015-16,38.0,18.0,9.0,11.0,59.0,41.0,18.0,63.0
8,2016-17,38.0,12.0,10.0,16.0,41.0,48.0,-7.0,46.0
17,2017-18,38.0,7.0,15.0,16.0,37.0,56.0,-19.0,36.0
16,2018-19,38.0,9.0,12.0,17.0,45.0,65.0,-20.0,39.0
11,2019-20,38.0,15.0,7.0,16.0,51.0,60.0,-9.0,52.0
15,2020-21,38.0,12.0,7.0,19.0,47.0,68.0,-21.0,43.0
15,2021-22,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,40.0
