Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
12,2008-09,38.0,12.0,9.0,17.0,38.0,55.0,-17.0,45.0
11,2009-10,38.0,11.0,14.0,13.0,34.0,48.0,-14.0,47.0
13,2010-11,38.0,13.0,7.0,18.0,46.0,48.0,-2.0,46.0
14,2011-12,38.0,11.0,12.0,15.0,36.0,53.0,-17.0,45.0
13,2012-13,38.0,9.0,15.0,14.0,34.0,45.0,-11.0,42.0
9,2013-14,38.0,13.0,11.0,14.0,45.0,52.0,-7.0,50.0
9,2014-15,38.0,15.0,9.0,14.0,48.0,45.0,3.0,54.0
9,2015-16,38.0,14.0,9.0,15.0,41.0,55.0,-14.0,51.0
13,2016-17,38.0,11.0,11.0,16.0,41.0,56.0,-15.0,44.0
19,2017-18,38.0,7.0,12.0,19.0,35.0,68.0,-33.0,33.0
