Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
18,1996-97,38.0,10.0,10.0,18.0,35.0,53.0,-18.0,40.0
7,1999-00,38.0,16.0,10.0,12.0,57.0,56.0,1.0,58.0
7,2000-01,38.0,15.0,12.0,11.0,46.0,41.0,5.0,57.0
17,2001-02,38.0,10.0,10.0,18.0,29.0,51.0,-22.0,40.0
20,2002-03,38.0,4.0,7.0,27.0,21.0,65.0,-44.0,19.0
20,2005-06,38.0,3.0,6.0,29.0,26.0,69.0,-43.0,15.0
15,2007-08,38.0,11.0,6.0,21.0,36.0,59.0,-23.0,39.0
16,2008-09,38.0,9.0,9.0,20.0,34.0,54.0,-20.0,36.0
13,2009-10,38.0,11.0,11.0,16.0,48.0,56.0,-8.0,44.0
10,2010-11,38.0,12.0,11.0,15.0,45.0,56.0,-11.0,47.0
13,2011-12,38.0,11.0,12.0,15.0,45.0,46.0,-1.0,45.0
17,2012-13,38.0,9.0,12.0,17.0,41.0,54.0,-13.0,39.0
14,2013-14,38.0,10.0,8.0,20.0,41.0,60.0,-19.0,38.0
16,2014-15,38.0,7.0,17.0,14.0,31.0,53.0,-22.0,38.0
17,2015-16,38.0,9.0,12.0,17.0,48.0,62.0,-14.0,39.0
20,2016-17,38.0,6.0,6.0,26.0,29.0,69.0,-40.0,24.0
