Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
8,1992-93,42.0,16.0,11.0,15.0,60.0,66.0,-6.0,59.0
15,1993-94,42.0,11.0,12.0,19.0,54.0,59.0,-5.0,45.0
7,1994-95,42.0,16.0,14.0,12.0,66.0,58.0,8.0,62.0
8,1995-96,38.0,16.0,13.0,9.0,50.0,38.0,12.0,61.0
10,1996-97,38.0,13.0,7.0,18.0,44.0,51.0,-7.0,46.0
14,1997-98,38.0,11.0,11.0,16.0,44.0,56.0,-12.0,44.0
11,1998-99,38.0,11.0,14.0,13.0,47.0,50.0,-3.0,47.0
10,1999-00,38.0,15.0,8.0,15.0,57.0,49.0,8.0,53.0
12,2000-01,38.0,13.0,10.0,15.0,47.0,54.0,-7.0,49.0
9,2001-02,38.0,14.0,8.0,16.0,49.0,53.0,-4.0,50.0
10,2002-03,38.0,14.0,8.0,16.0,51.0,62.0,-11.0,50.0
14,2003-04,38.0,13.0,6.0,19.0,47.0,57.0,-10.0,45.0
9,2004-05,38.0,14.0,10.0,14.0,47.0,41.0,6.0,52.0
5,2005-06,38.0,18.0,11.0,9.0,53.0,38.0,15.0,65.0
5,2006-07,38.0,17.0,9.0,12.0,57.0,54.0,3.0,60.0
11,2007-08,38.0,11.0,13.0,14.0,66.0,61.0,5.0,46.0
8,2008-09,38.0,14.0,9.0,15.0,45.0,45.0,0.0,51.0
4,2009-10,38.0,21.0,7.0,10.0,67.0,41.0,26.0,70.0
5,2010-11,38.0,16.0,14.0,8.0,55.0,46.0,9.0,62.0
4,2011-12,38.0,20.0,9.0,9.0,66.0,41.0,25.0,69.0
5,2012-13,38.0,21.0,9.0,8.0,66.0,46.0,20.0,72.0
6,2013-14,38.0,21.0,6.0,11.0,55.0,51.0,4.0,69.0
5,2014-15,38.0,19.0,7.0,12.0,58.0,53.0,5.0,64.0
3,2015-16,38.0,19.0,13.0,6.0,69.0,35.0,34.0,70.0
2,2016-17,38.0,26.0,8.0,4.0,86.0,26.0,60.0,86.0
3,2017-18,38.0,23.0,8.0,7.0,74.0,36.0,38.0,77.0
4,2018-19,38.0,23.0,2.0,13.0,67.0,39.0,28.0,71.0
6,2019-20,38.0,16.0,11.0,11.0,61.0,47.0,14.0,59.0
7,2020-21,38.0,18.0,8.0,12.0,68.0,45.0,23.0,62.0
4,2021-22,38.0,22.0,5.0,11.0,69.0,40.0,29.0,71.0
