Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Manchester United,1152.0,703.0,257.0,192.0,2185.0,1066.0,1119.0,2366.0
2,Arsenal,1152.0,619.0,284.0,249.0,2017.0,1148.0,869.0,2141.0
3,Chelsea,1152.0,618.0,284.0,250.0,1973.0,1125.0,848.0,2138.0
4,Liverpool,1152.0,609.0,282.0,261.0,2021.0,1147.0,874.0,2109.0
5,Tottenham Hotspur,1152.0,502.0,281.0,369.0,1745.0,1438.0,307.0,1787.0
6,Manchester City,962.0,473.0,210.0,279.0,1658.0,1068.0,590.0,1629.0
7,Everton,1152.0,418.0,320.0,414.0,1491.0,1481.0,10.0,1574.0
8,Newcastle United,1034.0,382.0,264.0,388.0,1377.0,1417.0,-40.0,1410.0
9,Aston Villa,1038.0,354.0,296.0,388.0,1265.0,1353.0,-88.0,1358.0
10,West Ham United,996.0,335.0,253.0,408.0,1235.0,1429.0,-194.0,1258.0
11,Southampton,886.0,274.0,241.0,371.0,1078.0,1282.0,-204.0,1063.0
12,Blackburn Rovers,696.0,262.0,184.0,250.0,927.0,907.0,20.0,970.0
13,Leeds United,544.0,216.0,141.0,187.0,745.0,706.0,39.0,789.0
14,Leicester City,612.0,209.0,160.0,243.0,820.0,868.0,-48.0,787.0
15,Middlesbrough,574.0,165.0,169.0,240.0,648.0,794.0,-146.0,664.0
16,Fulham,570.0,162.0,154.0,254.0,631.0,831.0,-200.0,640.0
17,Sunderland,608.0,153.0,159.0,296.0,612.0,904.0,-292.0,618.0
18,Bolton Wanderers,494.0,149.0,128.0,217.0,575.0,745.0,-170.0,575.0
19,Crystal Palace,502.0,145.0,129.0,228.0,547.0,726.0,-179.0,564.0
20,West Bromwich Albion,494.0,117.0,139.0,238.0,510.0,772.0,-262.0,490.0
21,Stoke City,380.0,116.0,109.0,155.0,398.0,525.0,-127.0,457.0
22,Coventry City,354.0,99.0,112.0,143.0,387.0,490.0,-103.0,409.0
23,Norwich City,392.0,99.0,105.0,188.0,414.0,669.0,-255.0,402.0
24,Sheffield Wednesday,316.0,101.0,89.0,126.0,409.0,453.0,-44.0,392.0
25,Wimbledon,316.0,99.0,94.0,123.0,384.0,472.0,-88.0,391.0
26,Charlton Athletic,304.0,93.0,82.0,129.0,342.0,442.0,-100.0,361.0
27,Wolverhampton Wanderers,304.0,90.0,78.0,136.0,328.0,462.0,-134.0,348.0
28,Wigan Athletic,304.0,85.0,76.0,143.0,316.0,482.0,-166.0,331.0
29,Burnley,304.0,83.0,76.0,145.0,300.0,455.0,-155.0,325.0
30,Swansea City,266.0,82.0,66.0,118.0,306.0,383.0,-77.0,312.0
31,Queens Park Rangers,278.0,81.0,65.0,132.0,339.0,431.0,-92.0,308.0
32,Portsmouth,266.0,79.0,65.0,122.0,292.0,380.0,-88.0,302.0
33,Birmingham City,266.0,73.0,82.0,111.0,273.0,360.0,-87.0,301.0
34,Watford,304.0,73.0,66.0,165.0,310.0,518.0,-208.0,285.0
35,Derby County,266.0,68.0,70.0,128.0,271.0,420.0,-149.0,274.0
36,Nottingham Forest,198.0,60.0,59.0,79.0,229.0,287.0,-58.0,239.0
37,Ipswich Town,202.0,57.0,53.0,92.0,219.0,312.0,-93.0,224.0
38,Bournemouth,190.0,56.0,43.0,91.0,241.0,330.0,-89.0,211.0
39,Brighton & Hove Albion,190.0,48.0,65.0,77.0,190.0,258.0,-68.0,209.0
40,Sheffield United,198.0,53.0,50.0,95.0,187.0,270.0,-83.0,209.0
41,Hull City,190.0,41.0,48.0,101.0,181.0,323.0,-142.0,171.0
42,Reading,114.0,32.0,23.0,59.0,136.0,186.0,-50.0,119.0
43,Oldham Athletic,84.0,22.0,23.0,39.0,105.0,142.0,-37.0,89.0
44,Cardiff City,76.0,17.0,13.0,46.0,66.0,143.0,-77.0,64.0
45,Bradford City,76.0,14.0,20.0,42.0,68.0,138.0,-70.0,62.0
46,Huddersfield Town,76.0,12.0,17.0,47.0,50.0,134.0,-84.0,53.0
47,Brentford,38.0,13.0,7.0,18.0,48.0,56.0,-8.0,46.0
48,Blackpool,38.0,10.0,9.0,19.0,55.0,78.0,-23.0,39.0
49,Barnsley,38.0,10.0,5.0,23.0,37.0,82.0,-45.0,35.0
50,Swindon Town,42.0,5.0,15.0,22.0,47.0,100.0,-53.0,30.0
