Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
19,2002-03,38.0,6.0,8.0,24.0,29.0,65.0,-36.0,26.0
17,2004-05,38.0,6.0,16.0,16.0,36.0,61.0,-25.0,34.0
19,2005-06,38.0,7.0,9.0,22.0,31.0,58.0,-27.0,30.0
20,2008-09,38.0,8.0,8.0,22.0,36.0,67.0,-31.0,32.0
11,2010-11,38.0,12.0,11.0,15.0,56.0,71.0,-15.0,47.0
10,2011-12,38.0,13.0,8.0,17.0,45.0,52.0,-7.0,47.0
8,2012-13,38.0,14.0,7.0,17.0,53.0,57.0,-4.0,49.0
17,2013-14,38.0,7.0,15.0,16.0,43.0,59.0,-16.0,36.0
13,2014-15,38.0,11.0,11.0,16.0,38.0,51.0,-13.0,44.0
14,2015-16,38.0,10.0,13.0,15.0,34.0,48.0,-14.0,43.0
10,2016-17,38.0,12.0,9.0,17.0,43.0,51.0,-8.0,45.0
20,2017-18,38.0,6.0,13.0,19.0,31.0,56.0,-25.0,31.0
19,2020-21,38.0,5.0,11.0,22.0,35.0,76.0,-41.0,26.0
