Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
13,1993-94,42.0,13.0,13.0,16.0,47.0,58.0,-11.0,52.0
14,1994-95,42.0,13.0,11.0,18.0,44.0,48.0,-4.0,50.0
10,1995-96,38.0,14.0,9.0,15.0,43.0,52.0,-9.0,51.0
14,1996-97,38.0,10.0,12.0,16.0,39.0,48.0,-9.0,42.0
8,1997-98,38.0,16.0,8.0,14.0,56.0,57.0,-1.0,56.0
5,1998-99,38.0,16.0,9.0,13.0,46.0,53.0,-7.0,57.0
9,1999-00,38.0,15.0,10.0,13.0,52.0,53.0,-1.0,55.0
15,2000-01,38.0,10.0,12.0,16.0,45.0,50.0,-5.0,42.0
7,2001-02,38.0,15.0,8.0,15.0,48.0,57.0,-9.0,53.0
18,2002-03,38.0,10.0,12.0,16.0,42.0,59.0,-17.0,42.0
9,2005-06,38.0,16.0,7.0,15.0,52.0,55.0,-3.0,55.0
15,2006-07,38.0,12.0,5.0,21.0,35.0,59.0,-24.0,41.0
10,2007-08,38.0,13.0,10.0,15.0,42.0,50.0,-8.0,49.0
9,2008-09,38.0,14.0,9.0,15.0,42.0,45.0,-3.0,51.0
17,2009-10,38.0,8.0,11.0,19.0,47.0,66.0,-19.0,35.0
22,2010-11,38.0,7.0,12.0,19.0,43.0,70.0,-27.0,33.0
10,2012-13,38.0,12.0,10.0,16.0,45.0,53.0,-8.0,46.0
13,2013-14,38.0,11.0,7.0,20.0,40.0,51.0,-11.0,40.0
12,2014-15,38.0,12.0,11.0,15.0,44.0,47.0,-3.0,47.0
7,2015-16,38.0,16.0,14.0,8.0,65.0,51.0,14.0,62.0
11,2016-17,38.0,12.0,9.0,17.0,47.0,64.0,-17.0,45.0
13,2017-18,38.0,10.0,12.0,16.0,48.0,68.0,-20.0,42.0
10,2018-19,38.0,15.0,7.0,16.0,52.0,55.0,-3.0,52.0
16,2019-20,38.0,10.0,9.0,19.0,49.0,62.0,-13.0,39.0
6,2020-21,38.0,19.0,8.0,11.0,62.0,47.0,15.0,65.0
7,2021-22,38.0,16.0,8.0,14.0,60.0,51.0,9.0,56.0
